Group Name,X,Y,Z,GridX,GridY,Feature,Normalized Feature,MEPFrequency,PreStim Mean
Sample 10,-39.9623,19.6917,94.1721,Sample 10,Sample 10,NaN,NaN,20,0.000935669297927606
Sample 11,-39.0873,8.2528,94.0921,Sample 11,Sample 11,NaN,NaN,0,NaN
Sample 12,-24.9006,-32.3622,96.0323,Sample 12,Sample 12,NaN,NaN,0,NaN
Sample 13,-25.2325,-21.8025,95.6683,Sample 13,Sample 13,NaN,NaN,20,0.00175202388848366
Sample 14,-27.0215,-13.3285,98.4552,Sample 14,Sample 14,NaN,NaN,0,NaN
Sample 15,-28.1259,-0.3536,102.5412,Sample 15,Sample 15,NaN,NaN,0,NaN
Sample 16,-28.5226,5.7691,90.4372,Sample 16,Sample 16,NaN,NaN,20,0.00182096736386619
Sample 17,-26.9815,18.1419,94.181,Sample 17,Sample 17,NaN,NaN,0,NaN
Sample 18,-15.71,-30.8016,99.7427,Sample 18,Sample 18,NaN,NaN,20,0.00208755746948359
Sample 19,-16.7493,-20.9136,99.3124,Sample 19,Sample 19,NaN,NaN,0,NaN
Sample 20,-16.3052,-10.7109,102.9654,Sample 20,Sample 20,0.0532038911842392,70.5216269725373,40,0.00187143743315432
Sample 21,-18.3844,-0.9092,100.3985,Sample 21,Sample 21,NaN,NaN,20,0.00106527646209014
Sample 22,-17.4316,8.6526,95.2218,Sample 22,Sample 22,NaN,NaN,20,0.0010321853845412
Sample 23,-17.11,20.1194,96.8997,Sample 23,Sample 23,NaN,NaN,0,NaN
Sample 24,-6.3878,-29.8227,99.9714,Sample 24,Sample 24,NaN,NaN,0,NaN
Sample 25,-6.2065,-20.145,98.3435,Sample 25,Sample 25,NaN,NaN,0,NaN
Sample 26,-7.0098,-10.8728,102.4985,Sample 26,Sample 26,NaN,NaN,0,NaN
Sample 27,-8.0649,-0.3605,98.6637,Sample 27,Sample 27,NaN,NaN,0,NaN
Sample 28,-7.549,11.5639,100.8348,Sample 28,Sample 28,NaN,NaN,20,0.000942062884823873
Sample 29,-7.7424,19.0589,97.3081,Sample 29,Sample 29,NaN,NaN,20,0.000978788109185058
Sample 30,4.9378,-40.1947,101.6834,Sample 30,Sample 30,NaN,NaN,0,NaN
Sample 31,3.5968,-27.6275,102.5223,Sample 31,Sample 31,NaN,NaN,0,NaN
Sample 32,2.9189,-19.2517,100.0752,Sample 32,Sample 32,0.0310351329062541,41.1369923729625,40,0.000912846102718551
Sample 33,1.058,-11.6846,97.0691,Sample 33,Sample 33,0.0420509695686633,55.7384567885379,40,0.00159998618320806
Sample 34,3.0721,1.5376,98.8416,Sample 34,Sample 34,NaN,NaN,0,NaN
Sample 35,2.4284,5.5956,98.9318,Sample 35,Sample 35,NaN,NaN,20,0.000851123232425755
Sample 36,1.5024,17.5768,86.3763,Sample 36,Sample 36,NaN,NaN,0,NaN
Sample 37,13.9949,-29.3837,99.6145,Sample 37,Sample 37,NaN,NaN,0,NaN
Sample 38,13.8154,-19.6417,102.22,Sample 38,Sample 38,0.0367023694707314,48.6489005072979,40,0.00102368652101222
Sample 39,14.3399,-7.9365,104.5099,Sample 39,Sample 39,NaN,NaN,0,NaN
Sample 4,-37.0984,-24.4764,99.4938,Sample 4,Sample 4,0.0391101880268252,51.8404580842126,40,0.00152192996425845
Sample 40,14.0663,-0.1782,103.4893,Sample 40,Sample 40,NaN,NaN,20,0.000877305434611505
Sample 41,12.97,9.6415,98.183,Sample 41,Sample 41,NaN,NaN,0,NaN
Sample 42,13.9677,19.1627,96.5994,Sample 42,Sample 42,NaN,NaN,20,0.00106821858887285
Sample 43,-47.5351,15.0691,88.519,Sample 43,Sample 43,NaN,NaN,0,NaN
Sample 44,-46.7825,5.4211,90.728,Sample 44,Sample 44,NaN,NaN,0,NaN
Sample 45,-45.5794,-3.9313,90.6725,Sample 45,Sample 45,NaN,NaN,0,NaN
Sample 46,-46.0209,-14.1748,91.7638,Sample 46,Sample 46,NaN,NaN,20,0.000856149581225108
Sample 47,-44.1368,-23.7655,90.7304,Sample 47,Sample 47,0.0754433688901675,100,60,0.00101240851195361
Sample 48,-41.2298,-32.927,90.0166,Sample 48,Sample 48,NaN,NaN,0,NaN
