Group Name,X,Y,Z,GridX,GridY,Feature,Normalized Feature,MEPFrequency,PreStim Mean
Sample 10,-60.632,-49.7255,80.3242,Sample 10,Sample 10,NaN,NaN,0,NaN
Sample 11,-65.1836,-38.7493,82.8809,Sample 11,Sample 11,0.0470859895358444,50.6871689985924,40,0.000887543888519548
Sample 12,-66.4599,-27.5072,82.6583,Sample 12,Sample 12,NaN,NaN,0,NaN
Sample 13,-67.8747,-16.1193,83.004,Sample 13,Sample 13,0.0362641103492933,39.0376226129633,40,0.000984399084952541
Sample 14,-72.7709,-3.033,84.0579,Sample 14,Sample 14,NaN,NaN,0,NaN
Sample 15,-75.5353,8.486,78.8797,Sample 15,Sample 15,NaN,NaN,20,0.00108155648810515
Sample 16,-77.4088,18.9642,76.0322,Sample 16,Sample 16,NaN,NaN,0,NaN
Sample 17,-47.1553,-82.5651,83.873,Sample 17,Sample 17,NaN,NaN,20,0.00150956996162512
Sample 18,-47.8334,-71.5814,86.8202,Sample 18,Sample 18,0.0617457626503892,66.4681349432986,40,0.00143007737283601
Sample 19,-49.7328,-60.0929,86.599,Sample 19,Sample 19,NaN,NaN,0,NaN
Sample 20,-50.6747,-48.4856,88.6796,Sample 20,Sample 20,NaN,NaN,20,0.0014906007311138
Sample 21,-53.4904,-37.2886,88.9037,Sample 21,Sample 21,0.0600275743636303,64.6185380478982,40,0.000853567758853531
Sample 22,-54.8898,-25.4151,89.9671,Sample 22,Sample 22,NaN,NaN,20,0.000675278952172799
Sample 23,-57.3338,-13.7265,89.4638,Sample 23,Sample 23,NaN,NaN,0,NaN
Sample 24,-59.0955,-2.5548,87.1005,Sample 24,Sample 24,NaN,NaN,20,0.000858140850165093
Sample 25,-60.8812,11.7596,87.4783,Sample 25,Sample 25,NaN,NaN,0,NaN
Sample 26,-63.8521,22.612,85.2153,Sample 26,Sample 26,NaN,NaN,20,0.000776011709429967
Sample 27,-34.943,-81.678,88.6326,Sample 27,Sample 27,0.0574598911953217,61.854476126935,80,0.000743432505072752
Sample 28,-36.0857,-69.9944,92.8888,Sample 28,Sample 28,0.0592031490668887,63.7310599518747,100,0.00087193425902525
Sample 29,-38.5738,-57.5194,94.5322,Sample 29,Sample 29,0.0578772060180199,62.3037075682244,40,0.0012281930000011
Sample 30,-40.3499,-47.8468,94.7863,Sample 30,Sample 30,0.0928952838876285,100,100,0.00075635651534727
Sample 31,-41.2331,-33.5256,95.4815,Sample 31,Sample 31,0.0685888891894137,73.8346300468632,100,0.000937299995692899
Sample 32,-43.0722,-23.051,95.1076,Sample 32,Sample 32,0.0598196453211131,64.3947064023986,100,0.000833351564363338
Sample 33,-43.5125,-11.5647,94.1664,Sample 33,Sample 33,0.0587687001825543,63.2633840202742,100,0.00088854720347538
Sample 34,-48.0917,-0.0277,92.265,Sample 34,Sample 34,0.0578055284374083,62.2265480208158,60,0.0011026972087228
Sample 35,-48.3774,10.9562,89.2609,Sample 35,Sample 35,0.0600230947990591,64.6137158821395,60,0.000772622927606603
Sample 36,-41.5382,16.0938,70.02,Sample 36,Sample 36,NaN,NaN,20,0.00116116750470103
Sample 37,-19.7876,-80.4531,90.7026,Sample 37,Sample 37,0.0585256984777516,63.001797323261,80,0.0015520964090031
Sample 38,-22.1887,-68.6574,94.8231,Sample 38,Sample 38,0.0595935140154324,64.1512803680327,100,0.000884907358355725
Sample 39,-23.6396,-56.7597,97.2805,Sample 39,Sample 39,0.0672748387842148,72.4200798671269,80,0.000766793218905004
Sample 40,-28.2513,-45.7728,97.7033,Sample 40,Sample 40,0.0591690735745942,63.6943783348233,100,0.000792424078427466
Sample 41,-28.2389,-33.9404,97.7717,Sample 41,Sample 41,0.059072631484014,63.5905602651171,100,0.000949313887540972
Sample 42,-29.9831,-22.5224,97.7516,Sample 42,Sample 42,0.0594130975514418,63.9570654881805,100,0.000795288065248559
Sample 43,-30.8204,-11.8995,97.1034,Sample 43,Sample 43,0.0601987849222496,64.8028429463325,100,0.00126406486222037
